ambiguous,behavioral_pass,behaviorally_valid,class_id,detected_pole,detector_correct,fingerprint_hash,model,parsed,reason,rep,requested_pole,strip_level,study_id,task_id,temperature,trace_fingerprint
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,1,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,2,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,3,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,4,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,5,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,6,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,7,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,8,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,9,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,10,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.0,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,1,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.4,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,2,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.4,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
False,True,True,C,eager,True,64c27dfc40a68318a77d41dad3a5526f6e69e7fb2c850cb56076fe18e099e1c1,ollama:qwen2.5-coder:14b,True,all_features_precomputed_before_first_request,3,eager,raw,H01_temperature_pilot,mixed_signed_vector,0.4,"[""feature_a:call"",""feature_b:call"",""feature_c:call""]"
